Symbol	Description
00528.HK	General Motors Acceptance Corp 100 N0207
00529.HK	SiS International Holdings Ltd
00530.HK	Fortuna International Holdings Ltd
00531.HK	Samson Holding Ltd
00532.HK	Wong's Kong King International (Holdings) Ltd
00533.HK	Goldlion Holdings Ltd
00535.HK	Frasers Property (China) Ltd
00536.HK	Tradelink Electronic Commerce Ltd
00538.HK	Ajisen (China) Holdings Ltd
00539.HK	Victory City International Holdings Ltd
00540.HK	Thai-Asia Fund Ltd
00542.HK	Morning Star Resources Ltd
00543.HK	Pacific Online Ltd
00544.HK	Daido Group Ltd
00546.HK	Fufeng Group Ltd.  
00547.HK	Sun Innovation Holdings Ltd
00548.HK	Shenzhen Expressway Co. Ltd
00550.HK	Recruit Holdings
00551.HK	Yue Yuen Industrial (Holdings) Ltd
00552.HK	China Communications Services
00553.HK	Nanjing Panda Electronic Co. Ltd
00554.HK	Hans Energy Co. Ltd
00555.HK	REXLot Holdings Limited
00556.HK	Pan Asia Environmental Protection Group Ltd
00557.HK	City e-Solutions Ltd
00558.HK	L.K. Technology Holdings Ltd.
00559.HK	Hua Yi Copper Holdings Ltd
00560.HK	Chu Kong Shipping Development Co. Ltd
00563.HK	Neo-China Group (Holdings) Ltd
00564.HK	Champion Technology Holdings Ltd Warrants 2007
00565.HK	Art Textile Technology International Co. Ltd
00566.HK	RBI Holdings Ltd
00567.HK	Daisho Microline Holdings Ltd
00568.HK	Shandong Molong Petroleum Machinery Co. Ltd
00569.HK	Kith Holdings W0406
00570.HK	Wing Shan International Ltd
00571.HK	eSun Holdings Ltd
00572.HK	Spread Prospects Holdings Ltd
00573.HK	Hanny Holdings W0204
00574.HK	Pashun Pharma
00575.HK	Regent Pacific Group Ltd
00576.HK	Zhejiang Expressway Co. Ltd
00577.HK	Paul Y. Engineering Group Ltd
00578.HK	Everbest Century Holdings Ltd
00579.HK	Beijing Jingneng Clean Energy
00580.HK	Sun.King Power Electronics Group Ltd
00581.HK	China Oriental Group Co. Ltd
00582.HK	Greenfield Chemical Holdings Ltd
00583.HK	SCMP Group Ltd
00585.HK	Imagi International Holdings Ltd
00586.HK	Conch Venture
00587.HK	Hua Han Bio-Pharmaceutical Holdings Ltd
00588.HK	Beijing North Star Co. Ltd
00589.HK	Ports Design Ltd
00590.HK	Luk Fook Holdings (International) Ltd
00591.HK	China High Precision Automation Ltd
00592.HK	Bossini International Holdings Ltd
00593.HK	Quality HealthCare Asia Ltd
00595.HK	AV Concept Holdings Ltd
00596.HK	China Online (bermuda) Ltd W0306
00598.HK	Sinotrans Ltd
00599.HK	E. Bon Holdings Ltd
00600.HK	Honesty Treasure International Holdings Ltd
00601.HK	Group Sense (International) Ltd
00602.HK	Kingboard Chemical Holdings Ltd W0312
00603.HK	Nippon Asia Investments Holdings Ltd
00604.HK	Shenzhen Investment Ltd
00605.HK	K.P.I. Co. Ltd
00606.HK	China Agri-Industries
00607.HK	Warderly International Holdings Ltd
00608.HK	High Fashion International Ltd
00609.HK	Qpl International Holdings Ltd W0401
00610.HK	Wai Kee Holdings Ltd
00611.HK	Tack Hsin Holdings Ltd
00612.HK	China Investment Fund Co. Ltd
00613.HK	Yugang International Ltd
00616.HK	Easyknit Enterprises Holdings Ltd
00617.HK	Paliburg Holdings Ltd
00618.HK	EC-Founder (Holdings) Co. Ltd
00619.HK	South China Brokerage Co. Ltd
00620.HK	UDL Holdings Ltd
00621.HK	Taung Gold International Ltd
00622.HK	
00623.HK	SNP Leefung Holdings Ltd
00625.HK	Reef CCT Reit
00626.HK	Public Financial Holdings Ltd
00627.HK	U-RIGHT International Holdings Ltd
00628.HK	Teem Foundation Group Ltd
00629.HK	Yue Da Holdings Ltd
00630.HK	Jackin International Holdings Ltd
00631.HK	Wing Shing International Holdings Ltd Warrants 2007
00632.HK	China Merchants DiChain (Asia) Ltd
00633.HK	China All Access
00635.HK	Playmates Holdings Ltd
00636.HK	Fubon Bank Ltd
00637.HK	Lee Kee Holdings Ltd
00638.HK	Kin Yat Holdings Ltd
00639.HK	Fushan International Energy Group Ltd
00640.HK	Harmony Asset W0205
00641.HK	Fong's Industries Co. Ltd
00643.HK	Carry Wealth Holdings Ltd
00645.HK	KTP Holdings Ltd
00646.HK	China Environmental Technology
00647.HK	Joyce Boutique Holdings Ltd
00648.HK	Softbank Investment International (Strategic) Ltd
00650.HK	Shun Cheong Holdings Ltd
00651.HK	Wonson International Holdings Ltd
00653.HK	Bonjour Holdings Ltd
00655.HK	Hongkong Chinese Ltd
00656.HK	Fosun International
00657.HK	G-Vision International (Holdings) Ltd
00658.HK	China High Speed Transmission Equipment Group Ltd
00659.HK	NWS Holdings Ltd
00660.HK	Nority International Group Ltd
00661.HK	China National Resources Development Holdings Ltd
00662.HK	Asia Financial Holdings Ltd
00663.HK	Swank International Manufacturing Co. Ltd
00665.HK	Taifook Securities Group Ltd
00666.HK	Yu Ming Investments Ltd
00668.HK	Hong Kong Catering Management Ltd
00669.HK	Techtronic Industries Co. Ltd
00670.HK	China Eastern Airlines Corporation Ltd
00672.HK	Barclays Asian Selection Fund Ltd-aseans
00673.HK	China HealthCare Holdings Ltd
00674.HK	United Power Investment Ltd
00675.HK	K & P International Holdings Ltd
00676.HK	Pegasus International Holdings Ltd
00677.HK	Golden Resources Development International Ltd
00678.HK	Star Cruises Ltd
00679.HK	Asia Tele-Net And Technology Corporation Ltd
00680.HK	Nan Hai Corporation Ltd
00681.HK	Chinese People Gas Holdings Co. Ltd
00682.HK	Chaoda Modern Agriculture (Holdings) Ltd
00683.HK	Kerry Properties Ltd
00684.HK	Allan International Holdings Ltd
00685.HK	Ming Pao Enterprise Corporation Ltd
00686.HK	Gay Giano International Group Ltd
00687.HK	Tysan Holdings Ltd
00688.HK	China Overseas Land & Investment Ltd
00689.HK	Great Wall Cybertech Ltd
00690.HK	Uni-Bio Science Group Ltd
00691.HK	Shanshui Cement
00692.HK	Ching Hing (Holdings) Ltd
00693.HK	Tan Chong International Ltd
00694.HK	Beijing Capital International Airport Co. Ltd
00695.HK	Dongwu Cement Ltd
00696.HK	TravelSky Technology Ltd
00697.HK	Shougang Concord International Enterprises Co. Ltd
00698.HK	Tongda Group Holdings Ltd
00699.HK	Chia Hsin Cement Greater China Holding Corporation
00700.HK	Tencent Holdings Ltd
00701.HK	CNT Group Ltd
00702.HK	Genesis Energy Holdings Ltd
00703.HK	Innovo Leisure Recreation Holdings Ltd
00704.HK	Frankie Dominion International Ltd
00705.HK	Zhongda International Holdings Ltd Warrants 2006
00706.HK	FinTronics Holdings Co. Ltd
00707.HK	Co-Prosperity Holdings Ltd
00708.HK	New Media Group Holdings Ltd
00709.HK	Giordano International Ltd
00710.HK	Varitronix International Ltd
00711.HK	Chun Wo Holdings Ltd
00712.HK	China Resources Cement Holdings Ltd
00713.HK	World Houseware (Holdings) Ltd
00715.HK	Hutchison Harbour Ring Ltd
00716.HK	Singamas Container Holdings Ltd
00717.HK	Emperor Capital Group Ltd
00718.HK	Bestway International Holdings Ltd
00719.HK	Shandong Xinhua Pharmaceutical Co. Ltd
00720.HK	Wo Kee Hong (Holdings) Ltd
00721.HK	Comtec Solar Systems Group Limited
00722.HK	Delta Networks Inc
00723.HK	Anex International Holdings Ltd
00724.HK	Semtech International Holdings Ltd
00725.HK	Perennial International Ltd
00726.HK	South East Group Ltd
00727.HK	VXL Capital Ltd
00728.HK	China Telecom Corporation Ltd
00729.HK	Carico Holdings Ltd
00730.HK	Shougang Concord Grand (Group) Ltd
00731.HK	Samson Paper Holdings Ltd
00732.HK	Truly International Holdings Ltd
00733.HK	Hopefluent Group Holdings Ltd
00735.HK	China Power New Energy
00736.HK	Northern International Holdings Ltd
00737.HK	Hopewell Highway Infrastructure Ltd
00738.HK	Le Saunda Holdings Ltd
00743.HK	Asia Cement Holdings
00745.HK	Wing Hong (Holdings) Ltd
00746.HK	Lee & Man Holding Ltd
00747.HK	Shenyang Public Utility Holdings Co. Ltd
00750.HK	China Singyes Solar Tech
00751.HK	Skyworth Digital Holdings Ltd
00752.HK	Pico Far East Holdings Ltd
00753.HK	Air China Ltd
00754.HK	Hopson Development Holdings Ltd
00755.HK	Shanghai Zendai Property Ltd
00756.HK	Iquorum Cybernet W0404
00757.HK	Solargiga Energy Holdings Ltd
00758.HK	Junefield Department Store Group Ltd
00759.HK	CEC International Holdings Ltd
00760.HK	Tomorrow International Holdings Ltd
